assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
3592271,133068,Platygyra sinensis,4.5.11,East China Sea,,Native,Extant,
3592271,133068,Platygyra sinensis,4.6.3,Somali Current,,Native,Extant,
3592271,133068,Platygyra sinensis,4.5.4,Indonesian Seas,,Native,Extant,
3592271,133068,Platygyra sinensis,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3592271,133068,Platygyra sinensis,4.6.2,Arabian Sea,,Native,Extant,
3592271,133068,Platygyra sinensis,4.4.5,East-Central Australian Shelf,,Native,Extant,
3592271,133068,Platygyra sinensis,4.6.1,Bay of Bengal,,Native,Extant,
3592271,133068,Platygyra sinensis,4.4.4,North Australian Shelf,,Native,Extant,
3592271,133068,Platygyra sinensis,4.4.3,Northeast Australian Shelf,,Native,Extant,
3592271,133068,Platygyra sinensis,4.4.2,Northwest Australian Shelf,,Native,Extant,
3592271,133068,Platygyra sinensis,4.4.1,West-Central Australian Shelf,,Native,Extant,
3592271,133068,Platygyra sinensis,2.2.1,Kuroshio Current,,Native,Extant,
3592271,133068,Platygyra sinensis,4.6.4,Agulhas Current,,Native,Extant,
3592271,133068,Platygyra sinensis,4.6.5,Red Sea,,Native,Extant,
3593444,133069,Astreopora cucullata,4.5.13,Gulf of Thailand,,Native,Extant,
3593444,133069,Astreopora cucullata,4.5.12,South China Sea,,Native,Extant,
3593444,133069,Astreopora cucullata,4.5.11,East China Sea,,Native,Extant,
3593444,133069,Astreopora cucullata,4.6.5,Red Sea,,Native,Extant,
3593444,133069,Astreopora cucullata,2.2.1,Kuroshio Current,,Native,Extant,
3593444,133069,Astreopora cucullata,4.4.2,Northwest Australian Shelf,,Native,Extant,
3593444,133069,Astreopora cucullata,4.4.3,Northeast Australian Shelf,,Native,Extant,
3593444,133069,Astreopora cucullata,4.4.5,East-Central Australian Shelf,,Native,Extant,
3593444,133069,Astreopora cucullata,4.6.1,Bay of Bengal,,Native,Extant,
3593444,133069,Astreopora cucullata,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3593444,133069,Astreopora cucullata,4.5.4,Indonesian Seas,,Native,Extant,
3607835,133160,Acropora austera,4.5.13,Gulf of Thailand,,Native,Extant,
3607835,133160,Acropora austera,4.5.12,South China Sea,,Native,Extant,
3607835,133160,Acropora austera,4.5.4,Indonesian Seas,,Native,Extant,
3607835,133160,Acropora austera,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3607835,133160,Acropora austera,4.6.2,Arabian Sea,,Native,Extant,
3607835,133160,Acropora austera,4.4.5,East-Central Australian Shelf,,Native,Extant,
3607835,133160,Acropora austera,4.6.1,Bay of Bengal,,Native,Extant,
3607835,133160,Acropora austera,4.4.4,North Australian Shelf,,Native,Extant,
3607835,133160,Acropora austera,4.4.3,Northeast Australian Shelf,,Native,Extant,
3607835,133160,Acropora austera,4.4.2,Northwest Australian Shelf,,Native,Extant,
3607835,133160,Acropora austera,4.4.1,West-Central Australian Shelf,,Native,Extant,
3607835,133160,Acropora austera,2.2.1,Kuroshio Current,,Native,Extant,
3607835,133160,Acropora austera,4.6.4,Agulhas Current,,Native,Extant,
3607835,133160,Acropora austera,4.6.5,Red Sea,,Native,Extant,
3607835,133160,Acropora austera,4.5.11,East China Sea,,Native,Extant,
3608479,133161,Platygyra contorta,4.5.4,Indonesian Seas,,Native,Extant,
3608479,133161,Platygyra contorta,4.6.3,Somali Current,,Native,Extant,
3608479,133161,Platygyra contorta,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3608479,133161,Platygyra contorta,4.6.2,Arabian Sea,,Native,Extant,
3608479,133161,Platygyra contorta,4.6.1,Bay of Bengal,,Native,Extant,
3608479,133161,Platygyra contorta,4.4.4,North Australian Shelf,,Native,Extant,
3608479,133161,Platygyra contorta,4.4.3,Northeast Australian Shelf,,Native,Extant,
3608479,133161,Platygyra contorta,4.4.2,Northwest Australian Shelf,,Native,Extant,
3608479,133161,Platygyra contorta,2.2.1,Kuroshio Current,,Native,Extant,
3608479,133161,Platygyra contorta,4.6.4,Agulhas Current,,Native,Extant,
3608479,133161,Platygyra contorta,4.5.11,East China Sea,,Native,Extant,
3608479,133161,Platygyra contorta,4.5.12,South China Sea,,Native,Extant,
3608479,133161,Platygyra contorta,4.5.13,Gulf of Thailand,,Native,Extant,
3612492,133170,Montipora dilatata,3.2.1,Insular Pacific Hawaiian,,Native,Extant,
3614541,133174,Astreopora moretonensis,4.5.12,South China Sea,,Native,Extant,
3614541,133174,Astreopora moretonensis,4.4.3,Northeast Australian Shelf,,Native,Extant,
3614541,133174,Astreopora moretonensis,4.4.4,North Australian Shelf,,Native,Extant,
3614541,133174,Astreopora moretonensis,4.4.5,East-Central Australian Shelf,,Native,Extant,
3614541,133174,Astreopora moretonensis,4.6.1,Bay of Bengal,,Native,Extant,
3614541,133174,Astreopora moretonensis,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3616568,133178,Montastrea annuligera,4.5.13,Gulf of Thailand,,Native,Extant,
3616568,133178,Montastrea annuligera,4.5.4,Indonesian Seas,,Native,Extant,
3616568,133178,Montastrea annuligera,4.6.3,Somali Current,,Native,Extant,
3616568,133178,Montastrea annuligera,4.5.7,Sulu-Celebes Sea,,Native,Extant,
3616568,133178,Montastrea annuligera,4.6.2,Arabian Sea,,Native,Extant,
3616568,133178,Montastrea annuligera,4.4.5,East-Central Australian Shelf,,Native,Extant,
3616568,133178,Montastrea annuligera,4.6.1,Bay of Bengal,,Native,Extant,
