assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
3734638,133417,Caulastrea furcata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3734638,133417,Caulastrea furcata,9.8.4,Lagoon,,,Suitable
3734638,133417,Caulastrea furcata,9.8.5,Inter-Reef Soft Substrate,,,Suitable
3737366,133422,Montipora capricornis,9.8.2,Back Slope,,,Suitable
3737366,133422,Montipora capricornis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3737366,133422,Montipora capricornis,9.8.4,Lagoon,,,Suitable
3737366,133422,Montipora capricornis,9.8.5,Inter-Reef Soft Substrate,,,Marginal
3738458,133424,Leptastrea inaequalis,9.8.2,Back Slope,,,Suitable
3738458,133424,Leptastrea inaequalis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3738458,133424,Leptastrea inaequalis,9.8.4,Lagoon,,,Suitable
3738458,133424,Leptastrea inaequalis,9.8.6,Inter-Reef Rubble Substrate,,,Suitable
3743106,133433,Montipora crassituberculata,9.8.2,Back Slope,,,Suitable
3743106,133433,Montipora crassituberculata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3743106,133433,Montipora crassituberculata,9.8.4,Lagoon,,,Suitable
3743106,133433,Montipora crassituberculata,9.8.5,Inter-Reef Soft Substrate,,,Marginal
3748279,133443,Montipora australiensis,9.8.1,Outer Reef Channel,,,Marginal
3748279,133443,Montipora australiensis,9.8.2,Back Slope,,,Suitable
3748279,133443,Montipora australiensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3748279,133443,Montipora australiensis,9.8.4,Lagoon,,,Marginal
3761737,133472,Isopora crateriformis,9.8.2,Back Slope,,,Suitable
3761737,133472,Isopora crateriformis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3763341,133475,Acropora pagoensis,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3765052,133479,Acropora hyacinthus,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3765052,133479,Acropora hyacinthus,9.8.4,Lagoon,,,Suitable
3766092,133481,Acropora chesterfieldensis,9.8.2,Back Slope,,,Suitable
3766092,133481,Acropora chesterfieldensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3766092,133481,Acropora chesterfieldensis,9.8.4,Lagoon,,,Suitable
3773853,133497,Caulastrea echinulata,9.8.2,Back Slope,,,Suitable
3773853,133497,Caulastrea echinulata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3773853,133497,Caulastrea echinulata,9.8.4,Lagoon,,,Suitable
3773853,133497,Caulastrea echinulata,9.8.5,Inter-Reef Soft Substrate,,,Suitable
3780151,133510,Favia lizardensis,9.8.1,Outer Reef Channel,,,Marginal
3780151,133510,Favia lizardensis,9.8.2,Back Slope,,,Suitable
3780151,133510,Favia lizardensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3780151,133510,Favia lizardensis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Marginal
3780151,133510,Favia lizardensis,9.8.4,Lagoon,,,Suitable
3781375,133513,Acropora anthocercis,9.8.2,Back Slope,,,Suitable
3781375,133513,Acropora anthocercis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3781375,133513,Acropora anthocercis,9.8.4,Lagoon,,,Marginal
3798083,133550,Acropora glauca,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3800877,133556,Montipora spumosa,9.8.2,Back Slope,,,Suitable
3800877,133556,Montipora spumosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3800877,133556,Montipora spumosa,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3800877,133556,Montipora spumosa,9.8.4,Lagoon,,,Suitable
3804883,133563,Montipora peltiformis,9.8.1,Outer Reef Channel,,,Marginal
3804883,133563,Montipora peltiformis,9.8.2,Back Slope,,,Suitable
3804883,133563,Montipora peltiformis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3804883,133563,Montipora peltiformis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3804883,133563,Montipora peltiformis,9.8.4,Lagoon,,,Suitable
3808958,133571,Platygyra carnosus,9.8.2,Back Slope,,,Suitable
3808958,133571,Platygyra carnosus,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3808958,133571,Platygyra carnosus,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3808958,133571,Platygyra carnosus,9.8.4,Lagoon,,,Suitable
3827924,133612,Millepora foveolata,9.8.1,Outer Reef Channel,,,Suitable
3827924,133612,Millepora foveolata,9.8.2,Back Slope,,,Suitable
3827924,133612,Millepora foveolata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3827924,133612,Millepora foveolata,9.8.4,Lagoon,,,Suitable
3830663,133617,Acropora jacquelineae,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3830663,133617,Acropora jacquelineae,9.8.4,Lagoon,,,Suitable
3832396,133621,Acropora valenciennesi,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3832396,133621,Acropora valenciennesi,9.8.4,Lagoon,,,Suitable
3833067,133622,Montipora capitata,9.8.2,Back Slope,,,Suitable
3833067,133622,Montipora capitata,9.8.3,Foreslope (Outer Reef Slope),,,Marginal
3833067,133622,Montipora capitata,9.8.4,Lagoon,,,Suitable
3833067,133622,Montipora capitata,9.8.5,Inter-Reef Soft Substrate,,,Marginal
3834725,133626,Acropora schmitti,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3837240,133632,Montipora vaughani,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
3845401,133647,Acropora polystoma,9.8.2,Back Slope,,,Suitable
3845401,133647,Acropora polystoma,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3847939,133651,Platygyra lamellina,9.8.2,Back Slope,,,Suitable
3847939,133651,Platygyra lamellina,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3847939,133651,Platygyra lamellina,9.8.4,Lagoon,,,Suitable
3849670,133654,Favites chinensis,9.8.1,Outer Reef Channel,,,Suitable
3849670,133654,Favites chinensis,9.8.2,Back Slope,,,Suitable
3849670,133654,Favites chinensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3849670,133654,Favites chinensis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
3849670,133654,Favites chinensis,9.8.4,Lagoon,,,Suitable
3849670,133654,Favites chinensis,9.8.6,Inter-Reef Rubble Substrate,,,Marginal
3862790,133682,Acropora subulata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3862790,133682,Acropora subulata,9.8.4,Lagoon,,,Suitable
3869980,133698,Acropora nana,9.8.2,Back Slope,,,Suitable
3869980,133698,Acropora nana,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
3869980,133698,Acropora nana,9.8.4,Lagoon,,,Marginal
10566196,41880,Haliotis cracherodii,12.1,Marine Intertidal - Rocky Shoreline,,,Unknown
54150383,132862,Acropora cophodactyla,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
54151400,132869,Acropora florida,9.8.2,Back Slope,,,Marginal
54151400,132869,Acropora florida,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
54151400,132869,Acropora florida,9.8.4,Lagoon,,,Suitable
54154226,132883,Goniastrea australensis,9.8.1,Outer Reef Channel,,,Marginal
54154226,132883,Goniastrea australensis,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
54154226,132883,Goniastrea australensis,9.8.2,Back Slope,,,Suitable
54154226,132883,Goniastrea australensis,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
54154226,132883,Goniastrea australensis,9.8.4,Lagoon,,,Suitable
54156250,132888,Acropora secale,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
54156250,132888,Acropora secale,9.8.2,Back Slope,,,Suitable
54156250,132888,Acropora secale,9.8.4,Lagoon,,,Suitable
54161679,132922,Montastrea curta,9.8.1,Outer Reef Channel,,,Suitable
54161679,132922,Montastrea curta,9.8.4,Lagoon,,,Suitable
54161679,132922,Montastrea curta,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
54161679,132922,Montastrea curta,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
54161679,132922,Montastrea curta,9.8.2,Back Slope,,,Suitable
54163337,132936,Favia pallida,9.8.5,Inter-Reef Soft Substrate,,,Marginal
54163337,132936,Favia pallida,9.8.1,Outer Reef Channel,,,Suitable
54163337,132936,Favia pallida,9.8.2,Back Slope,,,Suitable
54163337,132936,Favia pallida,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
54163337,132936,Favia pallida,9.8.4,Lagoon,,,Suitable
54163337,132936,Favia pallida,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
54164079,132940,Acropora acuminata,9.8.4,Lagoon,,,Suitable
54164079,132940,Acropora acuminata,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
54164687,132948,Acropora granulosa,9.8.4,Lagoon,,,Suitable
54164687,132948,Acropora granulosa,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
54167680,132966,Acropora rambleri,9.8,Marine Neritic - Coral Reef,Yes,,Suitable
54168256,132969,Acropora listeri,9.8.2,Back Slope,,,Suitable
54168256,132969,Acropora listeri,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
54169590,132976,Acropora loripes,9.8.2,Back Slope,,,Suitable
54169590,132976,Acropora loripes,9.8.3,Foreslope (Outer Reef Slope),,,Suitable
54169590,132976,Acropora loripes,9.8.4,Lagoon,,,Suitable
54170240,132978,Montastrea magnistellata,9.8.4,Lagoon,,,Suitable
54170240,132978,Montastrea magnistellata,9.8.1,Outer Reef Channel,,,Marginal
54170240,132978,Montastrea magnistellata,9.8.2,Back Slope,,,Suitable
