assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
1636021,180481,Thelenota ananas,KH,Cambodia,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,BD,Bangladesh,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,EG,Egypt,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,LK,Sri Lanka,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,KM,Comoros,Extant,Native,"[""Resident""]",
1636021,180481,Thelenota ananas,DJ,Djibouti,Extant,Native,"[""Resident""]",
2108120,192521,Conus retifer,SB,Solomon Islands,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,CK,Cook Islands,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,CN,China,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,PG,Papua New Guinea,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,PF,French Polynesia,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,WF,Wallis and Futuna,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,PH,Philippines,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,GU,Guam,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,SO,Somalia,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,KM,Comoros,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,WS,Samoa,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,CX,Christmas Island,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,NC,New Caledonia,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,TZ,"Tanzania, United Republic of",Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,PW,Palau,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,MP,Northern Mariana Islands,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,UM,United States Minor Outlying Islands,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,MZ,Mozambique,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,US,United States,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,AS,American Samoa,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,VU,Vanuatu,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,RE,Réunion,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,VN,Viet Nam,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,MG,Madagascar,Extant,Native,"[""Resident""]",No
